batch_idx,sample_idx,gt_class,gt_name,pred_class,pred_name,confidence,top3
76,609,113,gloss_113,136,gloss_136,0.3369027376174927,"[('gloss_136', 0.3369027376174927), ('gloss_113', 0.0912335216999054), ('gloss_128', 0.0683775395154953)]"
74,596,101,gloss_101,8,gloss_8,0.332131952047348,"[('gloss_8', 0.332131952047348), ('gloss_101', 0.30044564604759216), ('gloss_94', 0.14266765117645264)]"
43,347,56,gloss_56,29,gloss_29,0.3272201418876648,"[('gloss_29', 0.3272201418876648), ('gloss_170', 0.09090176224708557), ('gloss_124', 0.05322171747684479)]"
51,410,111,gloss_111,25,gloss_25,0.27692216634750366,"[('gloss_25', 0.27692216634750366), ('gloss_111', 0.1032370775938034), ('gloss_58', 0.034699324518442154)]"
51,411,112,gloss_112,26,gloss_26,0.2697685658931732,"[('gloss_26', 0.2697685658931732), ('gloss_112', 0.1765226572751999), ('gloss_158', 0.0866229236125946)]"
80,642,143,gloss_143,193,gloss_193,0.26909327507019043,"[('gloss_193', 0.26909327507019043), ('gloss_143', 0.2645273804664612), ('gloss_163', 0.03423114866018295)]"
73,588,96,gloss_96,197,gloss_197,0.26095882058143616,"[('gloss_197', 0.26095882058143616), ('gloss_96', 0.1835673749446869), ('gloss_160', 0.05309046804904938)]"
26,208,108,gloss_108,107,gloss_107,0.25751885771751404,"[('gloss_107', 0.25751885771751404), ('gloss_108', 0.141882985830307), ('gloss_124', 0.0444222167134285)]"
95,764,75,gloss_75,192,gloss_192,0.25494101643562317,"[('gloss_192', 0.25494101643562317), ('gloss_9', 0.19113102555274963), ('gloss_132', 0.04743756726384163)]"
92,736,5,gloss_5,116,gloss_116,0.25350216031074524,"[('gloss_116', 0.25350216031074524), ('gloss_132', 0.06872016936540604), ('gloss_90', 0.05699875205755234)]"
93,751,63,gloss_63,165,gloss_165,0.2400924116373062,"[('gloss_165', 0.2400924116373062), ('gloss_194', 0.12277424335479736), ('gloss_63', 0.10398048907518387)]"
88,704,20,gloss_20,83,gloss_83,0.23735375702381134,"[('gloss_83', 0.23735375702381134), ('gloss_89', 0.1648532897233963), ('gloss_20', 0.14660531282424927)]"
84,677,175,gloss_175,143,gloss_143,0.23250192403793335,"[('gloss_143', 0.23250192403793335), ('gloss_175', 0.06756005436182022), ('gloss_193', 0.0658387839794159)]"
63,506,20,gloss_20,70,gloss_70,0.2217690646648407,"[('gloss_70', 0.2217690646648407), ('gloss_20', 0.07972346246242523), ('gloss_113', 0.057143956422805786)]"
25,203,103,gloss_103,71,gloss_71,0.22120362520217896,"[('gloss_71', 0.22120362520217896), ('gloss_148', 0.14681237936019897), ('gloss_103', 0.13811665773391724)]"
37,301,193,gloss_193,171,gloss_171,0.2198299765586853,"[('gloss_171', 0.2198299765586853), ('gloss_142', 0.12233510613441467), ('gloss_178', 0.04366382583975792)]"
33,269,164,gloss_164,84,gloss_84,0.2190045416355133,"[('gloss_84', 0.2190045416355133), ('gloss_139', 0.1359887719154358), ('gloss_69', 0.10972142964601517)]"
43,349,58,gloss_58,181,gloss_181,0.2071743756532669,"[('gloss_181', 0.2071743756532669), ('gloss_58', 0.04907560721039772), ('gloss_112', 0.044576991349458694)]"
44,356,64,gloss_64,144,gloss_144,0.19130706787109375,"[('gloss_144', 0.19130706787109375), ('gloss_29', 0.03856635466217995), ('gloss_37', 0.03504984825849533)]"
98,786,95,gloss_95,108,gloss_108,0.17851445078849792,"[('gloss_108', 0.17851445078849792), ('gloss_65', 0.04429195076227188), ('gloss_119', 0.027022067457437515)]"
96,773,83,gloss_83,192,gloss_192,0.15263015031814575,"[('gloss_192', 0.15263015031814575), ('gloss_133', 0.0667925551533699), ('gloss_47', 0.0633135661482811)]"
23,184,88,gloss_88,73,gloss_73,0.12437956780195236,"[('gloss_73', 0.12437956780195236), ('gloss_88', 0.09817954152822495), ('gloss_59', 0.06633848696947098)]"
27,220,119,gloss_119,33,gloss_33,0.11165653169155121,"[('gloss_33', 0.11165653169155121), ('gloss_145', 0.06907504051923752), ('gloss_98', 0.06456699967384338)]"
53,429,129,gloss_129,130,gloss_130,0.0870971828699112,"[('gloss_130', 0.0870971828699112), ('gloss_61', 0.07158207893371582), ('gloss_193', 0.05599932745099068)]"
38,305,197,gloss_197,141,gloss_141,0.08350129425525665,"[('gloss_141', 0.08350129425525665), ('gloss_197', 0.06991764158010483), ('gloss_2', 0.06579854339361191)]"
